               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084045,            0.046755,            0.023667,             0.43222,             0.59983,             0.41221,             0.12009,             0.06596,            0.031473,            0.012794,            0.070612,           0.0032653,           0.0032653
                   1,            0.062115,            0.031825,           0.0092561,             0.50838,             0.65366,             0.56016,             0.24765,            0.061805,            0.022598,           0.0033499,            0.039959,           0.0059454,           0.0059454
                   2,            0.059212,            0.028798,            0.005902,             0.52216,             0.68335,             0.60584,             0.25294,            0.048625,            0.021976,           0.0054688,           0.0086457,           0.0079654,           0.0079654
                   3,             0.05193,            0.027211,           0.0048377,              0.6852,             0.79037,             0.81674,             0.50303,            0.040266,            0.021017,           0.0022594,             0.00703,             0.00703,             0.00703
                   4,            0.046877,            0.026498,           0.0037665,             0.89921,              0.9106,             0.95428,             0.59963,            0.032754,            0.019729,           0.0017478,             0.00703,             0.00703,             0.00703
                   5,            0.041328,            0.024803,           0.0028869,             0.84624,             0.88511,             0.92702,             0.59026,            0.031947,            0.020041,           0.0014814,             0.00604,             0.00604,             0.00604
                   6,            0.035774,            0.023592,            0.001974,             0.89873,             0.91687,             0.94711,             0.63354,            0.030474,            0.019642,           0.0016892,             0.00505,             0.00505,             0.00505
                   7,            0.032924,            0.023145,           0.0017765,             0.92668,             0.93414,             0.96267,             0.59997,            0.031551,            0.019227,           0.0010828,             0.00406,             0.00406,             0.00406
                   8,            0.031608,            0.023777,           0.0016916,             0.92679,             0.95294,             0.96396,             0.55655,            0.031382,            0.018729,           0.0010327,             0.00307,             0.00307,             0.00307
                   9,            0.028499,            0.022283,           0.0014688,             0.92191,             0.96672,             0.97322,             0.62682,            0.028109,            0.018572,          0.00088661,             0.00208,             0.00208,             0.00208
